subject,type,label
_:b0,http://www.w3.org/2003/11/swrl#Imp,involved in BP
_:b1,http://www.w3.org/2003/11/swrl#Imp,"if effector directly negatively regulates X,  its parent MF directly negatively regulates X"
_:b2,http://www.w3.org/2003/11/swrl#Imp,effector input is compound function input
_:b3,http://www.w3.org/2003/11/swrl#Imp,'causally upstream of' and 'overlaps' should be disjoint properties (a SWRL rule is required because these are non-simple properties).
_:b4,http://www.w3.org/2003/11/swrl#Imp,Input of effector is input of its parent MF
_:b5,http://www.w3.org/2003/11/swrl#Imp,enabling an MF enables its parts
_:b6,http://www.w3.org/2003/11/swrl#Imp,inferring direct reg edge from input to regulatory subfunction
_:b7,http://www.w3.org/2003/11/swrl#Imp,infer input from direct reg
_:b8,http://www.w3.org/2003/11/swrl#Imp,'causally downstream of' and 'overlaps' should be disjoint properties (a SWRL rule is required because these are non-simple properties).
_:b9,http://www.w3.org/2003/11/swrl#Imp,inferring direct positive reg edge from input to regulatory subfunction
_:b10,http://www.w3.org/2003/11/swrl#Imp,inferring direct neg reg edge from input to regulatory subfunction
http://purl.obolibrary.org/obo/APOLLO_SV_00000008,http://www.w3.org/2002/07/owl#Class,software development
http://purl.obolibrary.org/obo/APOLLO_SV_00000105,http://www.w3.org/2002/07/owl#Class,software developer identifier
http://purl.obolibrary.org/obo/APOLLO_SV_00000106,http://www.w3.org/2002/07/owl#Class,complete software identifier
http://purl.obolibrary.org/obo/APOLLO_SV_00000107,http://www.w3.org/2002/07/owl#Class,atmosphere
http://purl.obolibrary.org/obo/APOLLO_SV_00000109,http://www.w3.org/2002/07/owl#Class,software identifier
http://purl.obolibrary.org/obo/APOLLO_SV_00000113,http://purl.obolibrary.org/obo/APOLLO_SV_00000107,atmosphere of the Earth
http://purl.obolibrary.org/obo/APOLLO_SV_00000113,http://www.w3.org/2002/07/owl#NamedIndividual,atmosphere of the Earth
http://purl.obolibrary.org/obo/APOLLO_SV_00000796,http://www.w3.org/2002/07/owl#Class,dataset creating
http://purl.obolibrary.org/obo/BFO_0000001,http://www.w3.org/2002/07/owl#Class,entity
http://purl.obolibrary.org/obo/BFO_0000002,http://www.w3.org/2002/07/owl#Class,continuant
http://purl.obolibrary.org/obo/BFO_0000003,http://www.w3.org/2002/07/owl#Class,occurrent
http://purl.obolibrary.org/obo/BFO_0000004,http://www.w3.org/2002/07/owl#Class,independent continuant
http://purl.obolibrary.org/obo/BFO_0000015,http://www.w3.org/2002/07/owl#Class,process
http://purl.obolibrary.org/obo/BFO_0000016,http://www.w3.org/2002/07/owl#Class,disposition
http://purl.obolibrary.org/obo/BFO_0000017,http://www.w3.org/2002/07/owl#Class,realizable entity
http://purl.obolibrary.org/obo/BFO_0000019,http://www.w3.org/2002/07/owl#Class,quality
http://purl.obolibrary.org/obo/BFO_0000020,http://www.w3.org/2002/07/owl#Class,specifically dependent continuant
http://purl.obolibrary.org/obo/BFO_0000023,http://www.w3.org/2002/07/owl#Class,role
http://purl.obolibrary.org/obo/BFO_0000024,http://www.w3.org/2002/07/owl#Class,fiat object
http://purl.obolibrary.org/obo/BFO_0000024,http://www.w3.org/2002/07/owl#Class,fiat object part
http://purl.obolibrary.org/obo/BFO_0000031,http://www.w3.org/2002/07/owl#Class,generically dependent continuant
http://purl.obolibrary.org/obo/BFO_0000034,http://www.w3.org/2002/07/owl#Class,function
http://purl.obolibrary.org/obo/BFO_0000040,http://www.w3.org/2002/07/owl#Class,material entity
http://purl.obolibrary.org/obo/BFO_0000050,http://www.w3.org/2002/07/owl#ObjectProperty,part of
http://purl.obolibrary.org/obo/BFO_0000050,http://www.w3.org/2002/07/owl#ReflexiveProperty,part of
http://purl.obolibrary.org/obo/BFO_0000050,http://www.w3.org/2002/07/owl#TransitiveProperty,part of
http://purl.obolibrary.org/obo/BFO_0000050,http://www.w3.org/2002/07/owl#ObjectProperty,part_of
http://purl.obolibrary.org/obo/BFO_0000050,http://www.w3.org/2002/07/owl#ReflexiveProperty,part_of
http://purl.obolibrary.org/obo/BFO_0000050,http://www.w3.org/2002/07/owl#TransitiveProperty,part_of
http://purl.obolibrary.org/obo/BFO_0000051,http://www.w3.org/2002/07/owl#ObjectProperty,has part
http://purl.obolibrary.org/obo/BFO_0000051,http://www.w3.org/2002/07/owl#ReflexiveProperty,has part
http://purl.obolibrary.org/obo/BFO_0000051,http://www.w3.org/2002/07/owl#TransitiveProperty,has part
http://purl.obolibrary.org/obo/BFO_0000054,http://www.w3.org/2002/07/owl#ObjectProperty,is realized by
http://purl.obolibrary.org/obo/BFO_0000054,http://www.w3.org/2002/07/owl#ObjectProperty,realized in
http://purl.obolibrary.org/obo/BFO_0000055,http://www.w3.org/2002/07/owl#ObjectProperty,realizes
http://purl.obolibrary.org/obo/BFO_0000062,http://www.w3.org/2002/07/owl#ObjectProperty,preceded by
http://purl.obolibrary.org/obo/BFO_0000062,http://www.w3.org/2002/07/owl#TransitiveProperty,preceded by
http://purl.obolibrary.org/obo/BFO_0000063,http://www.w3.org/2002/07/owl#ObjectProperty,precedes
http://purl.obolibrary.org/obo/BFO_0000063,http://www.w3.org/2002/07/owl#TransitiveProperty,precedes
http://purl.obolibrary.org/obo/BFO_0000066,http://www.w3.org/2002/07/owl#ObjectProperty,occurs in
http://purl.obolibrary.org/obo/BFO_0000067,http://www.w3.org/2002/07/owl#ObjectProperty,contains process
http://purl.obolibrary.org/obo/BFO_0000177,http://www.w3.org/2002/07/owl#ObjectProperty,part of continuant at all times
http://purl.obolibrary.org/obo/BFO_0000177,http://www.w3.org/2002/07/owl#ReflexiveProperty,part of continuant at all times
http://purl.obolibrary.org/obo/BFO_0000177,http://www.w3.org/2002/07/owl#TransitiveProperty,part of continuant at all times
http://purl.obolibrary.org/obo/GEO_000000789,http://www.w3.org/2002/07/owl#Class,plane angle measurement unit label
http://purl.obolibrary.org/obo/GEO_000000790,http://purl.obolibrary.org/obo/GEO_000000789,angular degree
http://purl.obolibrary.org/obo/GEO_000000790,http://www.w3.org/2002/07/owl#NamedIndividual,angular degree
http://purl.obolibrary.org/obo/GEO_000000790,http://purl.obolibrary.org/obo/GEO_000000789,°
http://purl.obolibrary.org/obo/GEO_000000790,http://www.w3.org/2002/07/owl#NamedIndividual,°
http://purl.obolibrary.org/obo/GEO_000000791,http://purl.obolibrary.org/obo/GEO_000000789,rad
http://purl.obolibrary.org/obo/GEO_000000791,http://www.w3.org/2002/07/owl#NamedIndividual,rad
http://purl.obolibrary.org/obo/GEO_000000791,http://purl.obolibrary.org/obo/GEO_000000789,radian
http://purl.obolibrary.org/obo/GEO_000000791,http://www.w3.org/2002/07/owl#NamedIndividual,radian
http://purl.obolibrary.org/obo/GEO_000000796,http://purl.obolibrary.org/obo/UO_0000047,square mile
http://purl.obolibrary.org/obo/GEO_000000796,http://www.w3.org/2002/07/owl#NamedIndividual,square mile
http://purl.obolibrary.org/obo/GO_0003674,http://www.w3.org/2002/07/owl#Class,molecular_function
http://purl.obolibrary.org/obo/GO_0003824,http://www.w3.org/2002/07/owl#Class,catalytic activity
http://purl.obolibrary.org/obo/GO_0008150,http://www.w3.org/2002/07/owl#Class,biological_process
http://purl.obolibrary.org/obo/GO_0016301,http://www.w3.org/2002/07/owl#Class,kinase activity
http://purl.obolibrary.org/obo/GO_0016740,http://www.w3.org/2002/07/owl#Class,transferase activity
http://purl.obolibrary.org/obo/GO_0016772,http://www.w3.org/2002/07/owl#Class,"transferase activity, transferring phosphorus-containing groups"
http://purl.obolibrary.org/obo/IAO_0000002,http://purl.obolibrary.org/obo/IAO_0000078,example to be eventually removed
http://purl.obolibrary.org/obo/IAO_0000002,http://www.w3.org/2002/07/owl#NamedIndividual,example to be eventually removed
http://purl.obolibrary.org/obo/IAO_0000003,http://www.w3.org/2002/07/owl#Class,measurement unit label
http://purl.obolibrary.org/obo/IAO_0000005,http://www.w3.org/2002/07/owl#Class,objective specification
http://purl.obolibrary.org/obo/IAO_0000007,http://www.w3.org/2002/07/owl#Class,action specification
http://purl.obolibrary.org/obo/IAO_0000009,http://www.w3.org/2002/07/owl#Class,data item label
http://purl.obolibrary.org/obo/IAO_0000009,http://www.w3.org/2002/07/owl#Class,datum label
http://purl.obolibrary.org/obo/IAO_0000009,http://www.w3.org/2002/07/owl#Class,label
http://purl.obolibrary.org/obo/IAO_0000010,http://www.w3.org/2002/07/owl#Class,software
http://purl.obolibrary.org/obo/IAO_0000015,http://www.w3.org/2002/07/owl#Class,information carrier
http://purl.obolibrary.org/obo/IAO_0000027,http://www.w3.org/2002/07/owl#Class,data item
http://purl.obolibrary.org/obo/IAO_0000030,http://www.w3.org/2002/07/owl#Class,information content entity
http://purl.obolibrary.org/obo/IAO_0000033,http://www.w3.org/2002/07/owl#Class,directive information entity
http://purl.obolibrary.org/obo/IAO_0000037,http://www.w3.org/2002/07/owl#Class,dot plot
http://purl.obolibrary.org/obo/IAO_0000038,http://www.w3.org/2002/07/owl#Class,graph
http://purl.obolibrary.org/obo/IAO_0000039,http://www.w3.org/2002/07/owl#FunctionalProperty,has measurement unit label
http://purl.obolibrary.org/obo/IAO_0000039,http://www.w3.org/2002/07/owl#ObjectProperty,has measurement unit label
http://purl.obolibrary.org/obo/IAO_0000064,http://www.w3.org/2002/07/owl#Class,algorithm
http://purl.obolibrary.org/obo/IAO_0000078,http://www.w3.org/2002/07/owl#Class,curation status specification
http://purl.obolibrary.org/obo/IAO_0000096,http://www.w3.org/2002/07/owl#Class,source code module
http://purl.obolibrary.org/obo/IAO_0000098,http://www.w3.org/2002/07/owl#Class,data format specification
http://purl.obolibrary.org/obo/IAO_0000100,http://www.w3.org/2002/07/owl#Class,data set
